wav,id,ew
3573.402,Fe I,66.0
3573.511,V I,21.0
3573.735,Ti II,84.0
3573.836,Ti II,156.0
3574.158,Dy I,7.5
3574.253,T I,45.0
3574.36,V I,24.0
3574.584,Fe I,5.5
3574.805,Co I,50.0
3574.967,Co I,90.0
3575.121,Co I,75.0
3575.252,Fe I,83.0
3575.374,Co I,115.0
3575.765,Zr I,34.0
3575.994,Fe I,90.0
3576.253,Sc II,12.0
3576.329,Sc II,116.0
3576.766,Ni II,87.0
3576.863,Ni II,44.0
3577.245,Ni I,39.0
3577.465,Ce I,47.0
3577.875,Mn I,105.0
3577.998,Mn I,12.0
3578.1,Co I,48.0
3578.218,Zr I,14.0
3578.693,Cr I,488.0
3578.907,Co I,13.0
3579.045,Co I,14.0
3579.835,Fe I,34.0
3580.087,Mn I,9.0
3580.412,Fe I,20.0
3580.927,Sc II,54.0
3581.209,Fe I,2144.0
3581.665,Fe I,36.0
3581.817,Fe I,29.0
3581.941,Fe I,24.0
3582.091,Zr I,12.0
3582.205,Fe I,64.0
3582.331,Fc I,33.0
3582.437,Fe I,17.0
3582.571,Fc I,40.0
3582.698,Fe I,72.0
3582.877,Fe I,19.0
3582.964,Fe I,16.0
3583.339,Fe I,122.0
3583.597,V I,11.0
3583.697,V I,112.0
3583.911,Fe I,96.0
3584.097,Fe I,34.0
3584.257,Fe I,5.0
3584.317,Cr I,10.0
3584.383,Y II,25.0
3584.52,Y II,44.0
3584.661,Fe I,182.0
3584.8,Fe I,72.0
3584.965,Fe I,78.0
3585.074,Dy I,8.5
3585.17,Cr II,45.0
3585.339,Cr II,839.0
3585.518,Cr II,35.0
3585.714,Fe I,168.0
3585.907,Fe I,50.0
3586.118,Fe I,122.0
3586.544,Mn I,74.0
3586.75,Fe I,42.0
3586.99,Fe I,532.0
3587.146,Fe I,3.5
3587.23,Fe I,250.0
3587.357,Fe I,7.0
3587.429,Fe I?,54.0
3587.76,Fe I,112.0
3587.943,Zr II,129.0
3588.122,Zr II,35.0
3588.325,Zr I,36.0
3588.534,Fe I,161.0
3588.775,Fe I,33.0
3588.925,Fe I,94.0
3589.112,Fe I,104.0
3589.222,Fe I,18.0
3589.461,Fe I,97.0
3589.632,Sc II,108.0
3589.767,V II,102.0
3589.882,V II,16.0
3589.968,Mn I,45.0
3590.094,Fe I,76.0
3590.302,Sc II,33.0
3590.489,Sc II,136.0
3590.662,Sc II,20.0
3591.008,Fe I,44.0
3591.142,Fe I,4.0
3591.225,Ca I,13.0
3591.355,Fe I,59.0
3591.488,Fe I,60.0
3591.744,Co I,10.0
3592.027,V II,75.0
3592.367,Fe I,3.5
3592.477,Fe I,42.0
3592.604,Sm I,15.0
3592.678,Fe I,79.0
3592.899,Fe I,48.0
3593.017,Ru I,3.0
3593.082,T I,32.0
3593.34,Cr I,88.0
3593.997,Ca I,40.0
3594.104,Fe I,11.0
3594.317,Fe I,7.0
3594.638,Fe I,146.0
3594.876,Co I,92.0
3595.115,Mn I,74.0
3595.308,Fe I,74.0
3595.54,Fe I,1.0
3595.683,Fe I,14.0
3595.879,Ti II,50.0
3596.054,Ti II,95.0
3596.205,Ti II,57.0
3596.313,Fe I,2.5
3596.509,Co I,22.0
3596.859,Fe I,3.0
3597.047,Fe I,86.0
3597.152,Rh I,11.0
3597.252,Fe I,6.0
3597.712,Ni I,181.0
3598.182,Ce I,8.0
3598.72,Ti I,60.0
3598.986,Fe I,87.0
3599.544,N I,18.0
3599.764,Ru I,6.5
3599.831,Fe I,6.5
3599.97,Fe I,58.0
3600.454,Tb I,3.5
3600.591,Ce I,2.5
3600.739,Y I,69.0
3600.824,Co I,6.5
3601.198,Zr I,13.0
3601.284,Fe I,6.0
3601.428,Fe I,16.0
3601.664,Cr I,51.0
3601.788,Mn I,8.0
3601.922,Co I,57.0
3602.287,N I,94.0
3602.544,Fe I,172.0
3602.708,Fe I,13.0
3602.771,Fe I,47.0
3602.878,Fe I,1.5
3603.21,Fe I,119.0
3603.438,Fe I,3.5
3603.578,Fe I,106.0
3603.691,Cr II,18.0
3603.95,Cr II,43.0
3604.277,T I,42.0
3604.378,Fe I,75.0
3604.464,Co I,9.5
3604.702,Fe I,60.0
3604.933,Cr I,17.0
3605.019,Co I,18.0
3605.201,Cr I,26.0
3605.339,Cr I,495.0
3605.475,Cr I,83.0
3605.692,Mn I,4.5
3605.916,Fe I,75.0
3606.039,Fe I,26.0
3606.132,Dy I,9.0
3606.251,Fe I,4.5
3606.378,Fe I,31.0
3606.538,Fe I,44.0
3606.694,Fe I,271.0
3606.854,Fe I,18.0
3607.124,Fe I,6.0
3607.251,Fe I,3.0
3607.379,Zr I,13.0
3607.533,Mn I,66.0
3607.625,Ce I,2.0
3607.772,Fe I,6.0
3607.865,Ca I,12.0
3608.155,Fe I,82.0
3608.319,Co I,11.0
3608.412,Cr I,15.0
3608.491,Mn I,38.0
3608.732,Fe I,6.0
3608.869,Fe I,1046.0
3609.328,N I,69.0
3609.472,Fe I,42.0
3609.558,Pd I,13.0
3609.714,Ce I,1.0
3609.768,Co I,9.0
3609.978,Fe I,3.0
3610.056,Fe I,10.0
3610.166,Fe I,231.0
3610.296,Fe I,35.0
3610.46,~Ti I,250.0
3610.702,Fe I,76.0
3611.05,Y I,80.0
3611.558,N I,23.0
3611.723,Co I,61.0
3611.894,Fe I,25.0
3612.075,Fe I,118.0
3612.245,Fe I,9.0
3612.519,Fe I,20.0
3612.744,Ni I,160.0
3612.941,Zr II,90.0
3613.109,Zr II,139.0
3613.332,Cr I,14.0
3613.449,Fe I,86.0
3613.719,Sc II,21.0
3613.809,Sc II,194.0
3613.952,Sc II,9.0
3614.23,T I,4.5
3614.561,Fe I,98.0
3614.891,Fe I,28.0
3615.393,Co I,26.0
3615.531,Fe I,2.0
3615.665,Cr I,71.0
3615.811,Fe I,9.0
3615.962,Fe I,37.0
3616.327,Fe I,56.0
3616.57,Fe I,92.0
3616.728,Fe I,3.5
3616.878,Hf I,0.5
3617.011,Fe I,36.0
3617.105,Fe I,35.0
3617.321,Fe I,82.0
3617.539,W I,8.5
3617.796,Fe I,124.0
3617.96,Fe I,46.0
3618.187,Fe I,11.0
3618.304,Fe I,110.0
3618.394,Fe I,74.0
3618.777,Fe I,1410.0
3619.273,Ni I,17.0
3619.4,Ni I,568.0
3619.536,Ni I,15.0
3619.67,Fe I,19.0
3619.776,Fe I,48.0
3619.937,Fe I,34.0
3620.032,N I,28.0
3620.247,Fe I,51.0
3620.468,Fe I,76.0
3620.879,Fe I,51.0
3620.971,Y I,24.0
3621.201,V II,72.0
3621.261,V II,36.0
3621.467,Fe I,140.0
3621.725,Fe I,76.0
3622.009,Fe I,127.0
3622.158,Fe I,31.0
3622.438,Fe I,3.0
3622.555,Eu I,3.5
3623.095,Fe I,15.0
3623.192,Fe I,105.0
3623.321,Fe I,12.0
3623.45,Fe I,97.0
3623.785,Fe I,118.0
3624.118,Ca I,139.0
3624.733,Ni I,132.0
3624.839,Ni I,122.0
3624.963,Co I,39.0
3625.147,Fe I,106.0
3625.501,Fe I,49.0
3625.626,V I,10.0
3625.753,Ca I,23.0
3625.933,N I,0.5
3626.016,Co I,2.0
3626.109,T I,39.0
3626.187,Fe I,50.0
3627.061,Fe I,56.0
3627.169,Fe I,18.0
3627.359,Fe I,14.0
3627.456,CH,12.0
3627.623,Co I,40.0
3627.715,Co I,19.0
3627.813,Co I,98.0
3627.959,Co I,9.0
3628.098,Fe I,78.0
3628.279,CH,24.0
3628.439,Fe I,8.0
3628.599,Y II,45.0
3628.707,Y II,57.0
3628.828,Y II,64.0
3628.879,Y II,11.0
3629.006,CH,15.0
3629.352,CH,16.0
3629.737,Mn I,48.0
3629.905,N I,47.0
3630.027,Zr I,31.0
3630.234,Dy I,26.0
3630.355,Fe I,84.0
3630.578,Ca I,41.0
3630.754,Ca I,133.0
3630.985,Ca I,56.0
3631.105,Fe I,98.0
3631.356,Fe I,4.5
3631.475,Fe I,1364.0
3631.711,Cr I,35.0
3631.959,Fe I,27.0
3632.049,Fe I,117.0
3632.299,Fe I,16.0
3632.56,Fe I,72.0
3632.84,Co I,64.0
3632.984,Fe I,60.0
3633.076,Fe I,134.0
3633.308,CH,23.0
3633.512,Zr I,47.0
3633.652,Fe I,23.0
3633.835,Fe I,92.0
3634.005,T I,9.0
3634.278,Fe I,7.5
3634.332,Fe I,136.0
3634.535,Fe I,60.0
3634.618,CH,13.0
3634.71,Co I,134.0
3634.865,CH,14.0
3634.952,N I,129.0
3635.025,Cr I,34.0
3635.085,Fe I,9.5
3635.28,Cr I,12.0
3635.352,Y I,28.0
3635.469,T I,97.0
3635.652,T I,17.0
3636.238,Fe I,132.0
3636.485,Zr I,92.0
3636.589,Cr I,36.0
3636.663,Fe I,66.0
3636.751,Co I,92.0
3636.865,Fe I,4.0
3637.058,Fe I,112.0
3637.255,Fe I,68.0
3637.317,Co I,10.0
3637.737,Fe I,48.0
3637.873,Fe I,93.0
3637.975,T I,23.0
3638.168,Fe I,28.0
3638.304,Fe I,153.0
3638.605,CH,7.5
3638.772,Sm I,1.0
3638.905,CH,16.0
3639.03,V I,34.0
3639.332,Fe I,11.0
3639.45,Co I,69.0
3639.525,Fe I,36.0
3639.804,Cr I,76.0
3639.985,Fe I,10.0
3640.118,Fe I,8.5
3640.265,Dy I,12.0
3640.394,Fe I,132.0
3641.228,Ti II,11.0
3641.335,Ti II,109.0
3641.459,Ti II,52.0
3641.646,Ni I,51.0
3641.792,Co I,72.0
3641.964,Fe I,32.0
3642.281,CH,22.0
3642.398,Ni I,19.0
3642.682,Sc II,93.0
3642.806,Sc II,150.0
3642.971,Sc II,20.0
3643.124,Fe I,94.0
3643.204,Co I,66.0
3643.627,Fe I,113.0
3643.729,Fe I,112.0
3643.811,Fe I,81.0
3643.951,N I,27.0
3644.417,Ca I,141.0
3644.591,Ca I,46.0
3644.695,Cr I,58.0
3644.978,Ca I,38.0
3645.082,Fe I,97.0
3645.186,Sc II,7.0
3645.313,Sc II,132.0
3645.413,Fe I,32.0
3645.497,Fe I,90.0
3645.827,Fe I,103.0
3645.935,Fe I,20.0
3646.097,Fe I,23.0
3646.196,Ti I,52.0
3646.504,CH,23.0
3646.988,Ce I,58.0
3647.095,Co I,14.0
3647.428,Fe I,94.0
3647.562,Fe I,24.0
3647.669,Fe I,39.0
3647.851,Fe I,970.0
3648.228,Fe I,18.0
3648.53,Cr I,23.0
3648.998,Cr I,52.0
3649.298,Fe I,124.0
3649.511,Fe I,134.0
3649.698,Fe I,44.0
3650.037,Fe I,115.0
3650.285,Fe I,115.0
3650.367,Cr I,16.0
3650.72,Zr I,9.0
3651.039,Fe I,20.0
3651.197,Nb I,31.0
3651.26,Co I,16.0
3651.474,Fe I,136.0
3651.654,N I,80.0
3651.8,Cr I,114.0
3652.107,Fe I,10.0
3652.26,Fe I,27.0
3652.551,Co I,70.0
3653.12,Ce I,7.5
3653.352,Fe I,44.0
3653.501,T I,98.0
3653.761,Ce I,66.0
3653.912,Cr I,102.0
3654.386,CH,13.0
3654.446,Co I,25.0
3654.598,T I,64.0
3654.673,Fe I,35.0
3655.003,Fe I,50.0
3655.355,Fe I,40.0
3655.472,Fe I,88.0
3655.58,Zr I,12.0
3655.851,Ce I,15.0
3656.265,Cr I,116.0
3656.548,N I,13.0
3656.705,V I,2.5
3656.965,Co I,33.0
3657.137,Fe I,72.0
3657.423,Fe I,48.0
3657.571,Ru I,5.5
3657.711,N I,57.0
3658.099,T I,71.0
3658.167,Cr I,8.0
3658.274,V I,4.5
3658.864,Tb I,3.0
3659.124,Fe I,1.5
3659.234,Ce I,10.0
3659.524,Fe I,98.0
3659.762,T I,103.0
3660.329,Fe I,60.0
3660.411,Fe I,32.0
3660.636,T I,51.0
3660.921,Zr I,9.0
3661.038,CH,28.0
3661.151,Fe I,5.5
3661.258,Fe I,14.0
3661.372,Sm I,64.0
3661.957,N I,70.0
3662.1,Ti II,5.5
3662.17,Ti II,59.0
3662.24,Ti II,94.0
3662.364,Ti II,17.0
3662.841,Cr I,96.0
3663.2,Cr I,100.0
3663.598,V I,10.0
3663.967,Fe I,65.0
3664.097,N I,130.0
3664.211,Fe I,48.0
3664.54,Fe I,103.0
3664.623,Y I,68.0
3664.701,Fe I,63.0
3664.828,CH,35.0
3664.945,Cr I,29.0
3665.028,CH,37.0
3665.188,Nd I,12.0
3665.437,Cr I,9.5
3665.85,Fe I,17.0
3665.997,Cr I,34.0
3666.064,Fe I,105.0
3666.164,Cr I,11.0
3666.25,Fe I,105.0
3666.539,Sc I,83.0
3666.644,Cr I,26.0
3666.77,Fe I,75.0
3666.849,Fe I,16.0
3666.931,Fe I,92.0
3667.261,Fe I,103.0
3667.424,Zr I,8.5
3667.75,V I,15.0
3667.996,Fe I,89.0
3668.217,Fe I,82.0
3668.46,Zr I,53.0
3668.891,Fe I,47.0
3668.969,T I,65.0
3669.155,Fe I,78.0
3669.244,N I,103.0
3669.406,V I,40.0
3669.526,Fe I,120.0
3669.686,Fe I,52.0
3669.839,Mn I,24.0
3670.032,Fe I,143.0
3670.22,Fe I,4.5
3670.431,N I,120.0
3670.542,Mn I,37.0
3670.817,Fe I,86.0
