wav,strength,id
11212.3,1N,Feip
11239.9,-3N,CN
11244.36,o 1,Ti I
11246.95,2,Ti I
11278.73,1,CN
11285.05,o,CN
11378.21,-1,CN
11384.4,-3,CN
11403.8,,Na I
11433.38,,Fe I
11502.68,,Si I
11542.92,-1,Fe I
11572.57,o,Crip
11573.04,-3,CN
11573.25,-3,Fe I
11591.41,ON,S I
11593.65,ON,Fe I
11602.08,-2,Ci I
11602.88,-3,Fe I
11607.59,4,Fe I
11610.56,1,Cr I
11611.44,15ns,Si I
11619.33,-1N,CT
11630.5,1N,Ci I
11638.22,10,Fe I
11690.01,1,Fe I
11728.48,-3,Fe I
11748.28,1N,C I
11753.42,5N,C I
11754.84,5N,C I
11769.72,-3N,K I
11777.61,ONN,C I
11797.55,0,Ti I
11801.1,0,C I
11828.2,5NN,Mg I
11848.79,-1N,C I
11862.99,-3,C I
11879.66,-2N,CT
11890.48,-1,S I
11892.9,ON,C I
11923.03,1N,CN
11949.77,in,Ti I
12031.56,,Si I
12083.79,,Mg I
12103.63,,Si I
12227.06,0,Fe I
12239.53,5,Fe I
12245.12,-1NN,Fe I
12267.95,-1,Fe I
12340.89,-3N,Fe I
12343.06,-1,Fe I
12423.36,-2N,Ca I
12557.11,On,Fe I
12569.06,1N,C I
12581.68,5ne,C I
12586.69,-2,Fe I
12588.92,-1,Fe I
12601.6,aN,C I
12615.98,-1,Fe I
12818.33,,Paschen$\beta$
