wavelength,ew,id
3641.228,11.0,Ti II
3641.335,109.0,Ti II
3641.792,72.0,Co I
3642.682,93.0,Sc II
3642.806,150.0,Sc II
3643.627,113.0,Fe I
3643.811,81.0,Fe I
3644.417,141.0,Ca I
3645.082,97.0,Fe I
3645.313,132.0,Sc II
3645.827,103.0,Fe I
3646.504,23.0,CH
3646.988,58.0,Ce I
3647.428,94.0,Fe I
3647.851,970.0,Fe I
3648.53,23.0,Cr I
3648.998,52.0,Cr I
3649.511,134.0,Fe I
3650.037,115.0,Fe I
3650.285,115.0,Fe I
3651.197,31.0,Nb I
3651.474,136.0,Fe I
3651.8,114.0,Cr I
3652.551,70.0,Co I
3653.12,7.5,Ce I
3653.501,98.0,T I
3653.912,102.0,Cr I
3654.598,64.0,T I
3655.003,50.0,Fe I
3655.472,88.0,Fe I
3655.851,15.0,Ce I
3656.265,116.0,Cr I
3657.137,72.0,Fe I
3657.711,57.0,N I
3658.099,71.0,T I
3658.274,4.5,V I
3659.234,10.0,Ce I
3659.524,98.0,Fe I
3659.762,103.0,T I
3660.329,60.0,Fe I
3661.038,28.0,CH
3661.372,64.0,Sm I
3662.24,94.0,Ti II
3662.364,17.0,Ti II
3663.2,100.0,Cr I
3663.598,10.0,V I
3664.097,130.0,N I
3664.54,103.0,Fe I
3665.028,37.0,CH
3665.437,9.5,Cr I
3666.064,105.0,Fe I
3666.539,83.0,Sc I
3666.931,92.0,Fe I
3667.261,103.0,Fe I
3667.996,89.0,Fe I
3668.46,53.0,Zr I
3669.244,103.0,N I
3669.526,120.0,Fe I
3670.032,143.0,Fe I
3670.431,120.0,N I
3670.817,86.0,Fe I
3671.682,67.0,T I
3672.124,16.0,Fe I
3672.712,68.0,Fc I
3673.226,44.0,CH
3673.426,40.0,V I
3674.15,178.0,N I
3674.413,58.0,Fe I
3674.999,11.0,Ir I
3675.294,42.0,Ca I
3675.766,24.0,Fe I
3676.322,102.0,Fe I
3676.878,73.0,Fe I
3677.628,147.0,Fe I
3677.855,98.0,Cr I
3678.728,3.0,Mn I
3678.869,89.0,Fe I
3679.685,43.0,T I
3679.811,22.0,Cr I
3680.665,70.0,Fe I
3680.802,128.0,Fe I
3681.653,72.0,Fe I
3681.884,30.0,Fe I
3683.092,166.0,Fe V
3683.623,52.0,Fe I
3684.222,8.5,Cr I
3684.542,38.0,Fe I
3685.196,275.0,Ti II
3685.527,56.0,Cr I
3686.004,151.0,Fe I
3686.263,85.0,Fe I
3687.102,73.0,Fe I
3687.466,564.0,Fe I
3688.173,47.0,Fe I
3689.002,52.0,Fe I
3689.469,158.0,Fe I
3689.88,79.0,Fe I
3690.731,86.0,Fe I
3691.176,8.5,Fe I
3691.314,50.0,Fe I
3692.226,40.0,V I
3692.65,47.0,Fe I
3693.032,86.0,Fe I
3693.478,61.0,Co I
3694.027,272.0,Yb II
3694.436,38.0,Ti I
3695.056,98.0,Fe I
3695.652,55.0,Fe I
3695.869,42.0,V I
3696.57,53.0,Mn I
3696.911,34.0,N I
3697.433,101.0,Fe I
3698.167,52.0,Zr I
3698.609,75.0,Fe I
3699.144,69.0,Fe I
3699.396,5.5,Fe I
3699.825,32.0,Fe I
3700.269,34.0,Tm I
3700.995,186.0,V I
3701.729,20.0,Mn I
3702.037,68.0,Fe I
3702.493,77.0,Fe I
3702.961,10.0,CN
3703.545,114.0,Fe I
3703.86,235.0,H 16
3704.469,98.0,Fe I
3705.033,33.0,V I
3705.577,562.0,Fe I
3706.037,290.0,Ca II
