wavelength,ew,id
3658.274,4.5,V II
3659.234,10,Ce II
3659.524,98,Fe I
3659.762,103,Ti II
3660.329,60,Fe I
3661.038,28,CH
3661.372,64,Sm II
3662.240,94,Ti II
3662.364,17,Cr I
3663.200,100,Cr I
3663.598,10,V I
3664.097,130,Ni I
3664.540,103,Fe I
3665.028,37,CH
3665.437,9.5,Cr I
3666.064,105,Fe I
3666.539,83,Sc II
3666.931,92,Fe I
3667.261,103,Fe I
3667.996,89,Fe I
3668.460,53,Zr II
3669.244,103,Ni I
3669.526,120,Fe I
3670.032,143,Fe I
3670.431,120,Ni I
3670.817,86,Fe I
3671.682,67,Ti I
3672.124,16,Fe I
3672.712,68,Fe I
3673.226,44,CH
3673.426,40,V I
3674.150,178,Ni I
3674.413,58,Fe I
3674.999,11,Ir I
3675.294,42,Ca I
3675.766,24,Fe I
3676.322,102,Fe I
3676.878,73,Fe I
3677.628,147,Fe I
3677.855,98,Cr II
3678.728,3,Mn II
3678.869,89,Fe I
3679.685,43,Ti II
3679.811,22,Cr I
3680.665,70,Fe I
3680.802,128,Fe I
3681.653,72,Fe I
3681.884,30,Fe I
3683.092,166,Fe I
3683.623,52,Fe I
3684.222,8.5,Cr II
3684.542,38,Fe I
3685.196,275,Ti II
3685.527,56,Cr I
3686.004,151,Fe I
3686.263,85,Fe I
3687.102,73,Fe I
3687.466,564,Fe I
3688.173,47,Fe I
3689.002,52,Fe I
3689.469,158,Fe I
3689.880,79,Fe I
3690.731,86,Fe I
3691.176,8.5,Fe I
3691.314,50,Fe I
3692.226,40,V I
3692.650,47,Fe I
3693.032,86,Fe I
3693.478,61,Co I
3694.027,272,Fe I
3694.436,38,Ti I
3695.056,98,Fe I
3695.652,55,Fe I
3695.869,42,V I
3696.570,53,Mn I
3696.911,34,Ni I
3697.433,101,Fe I
3698.167,52,Zr II
3698.609,75,Fe I
3699.144,69,Fe I
3699.396,5.5,Fe I
3699.825,32,Fe I
3700.269,34,Tm II
3700.995,186,V II
3701.729,20,Mn I
3702.037,68,Fe I
3702.493,77,Fe I
3702.961,10,CN
3703.545,114,Fe I
3703.860,235,H 16
3704.469,98,Fe I
3705.033,33,V I
