wav,strength,id
8040.28,-3,CN
8041.038,-1,Atm
8041.77,-3N,CN
8042.321,O,o
8043.169,3,Atm
8043.612,-1,Atm
8043.874,-1,CN
8044.398,a,Atm
8045.5308,3,Atm
8046.0588,8,Fe
8046.49,-3,
8046.8,-3,S1 p
8047.625,4,Fe
8048.98,-1,Atm
8049.33,-3N,o
8049.9,-1NN,-CN
8051.12,-3,o
8052.435,a,Atm
8052.88,-3,of
8053.098,1,-CN
8053.81,-3,07
8054.311,5N,©
8054.903,-1,Atm
8055.995,-1,Co?
8056.36,-3,of
8056.67,-3,07
8056.95,-3,07
8057.27,-3,©
8057.91,-3,07
8058.54,ON,Atm
8058.74,-1,o
8059.538,1,Atm
8060.249,o,Atm
8060.7,-3,07
8061.16,,Cr?
8062.161,Od,
8062.594,-2,CN
8062.89,-3,Ti?p
8063.1,,Zr
8063.2868,2,Atm
8064.106,-2,CN
8064.61,-3,Atm?
8065.226,1,Atm
8065.876,-1N,o
8066.07,,T1
8067.26,-3,CN
8067.78,-3,0?
8068.261,-2,T1
8068.5,-2,SaII
8069.34,-3,of
8069.79,-2,of
8070.016,-1,o Atm
8070.34,-1,Zr-
8070.62,-1,Siip
8071.262,1N,©
8072.162,-1,Fe
8072.381,-1,Atm?
8073.029,-1,o
8073.8,-3,of
8074.43,-3,CN
8074.744,-2,o
8075.1588,2,Fe
8075.549,ON,o
8076.293,1,Atm
8077.012,-3,07
8077.68,-3,oT
8077.96,-3,0?
8078.501,1,Atm o
8079.252,O,Atm
8079.597,O,Atm
8080.582,-2,T1 P
8080.69,1N,Fe
8081.11,-3,of
8081.523,O,CN
8082.16,-2,
8082.54,-2,CN
8082.969,-1,o Atm
8083.19,-3N,
8083.82,-3N,
8084.807,-1,Atm
8085.175,8,Fe
8085.431,1,Atm
8085.82,-3,of
8086.18,-3,Siip
8087.46,-2N,of
8088.31,-3,07
8088.56,-2,Atm?
8089.361,-1,©
8089.76,-3N,of
8090.464,1N,© Atm?
8091.082,-1,Atm
8091.5,-3,of
8091.95,-2N,of
8092.64,2,Cu
8093.04,-3,CN
8093.232,3,S1
8093.76,-3,
8093.937,1,Co
8094.27,2,Atm
8094.836,-3,0?
8095.352,-1,Atm
8096.02,-1,N17
8096.58,3,Atm
8096.874,1,Fe
8097.524,ON,©
8098.746,7N,Mg
