wavelength,ew,id
3588.534,161,Fe I
3588.775,33,Zr I
3588.925,94,Fe I
3589.112,104,Fe I
3589.222,18,Ru I
3589.461,97,Fe I
3589.632,108,Sc I
3589.767,102,V I
3589.882,16,Fe I
3589.968,45,Mn I
3590.094,76,Fe I
3590.302,33,Fe I
3590.489,136,Sc I
3590.662,20,Fe I
3591.008,44,Fe I
3591.142,4,Fe I
3591.225,13,Ca I
3591.355,59,Fe I
3591.488,60,Fe I
3591.744,10,Co I
3592.027,75,V I
3592.367,3.5,Fe I
3592.477,42,Fe I
3592.604,15,Sm I
3592.678,79,Fe I
3592.899,48,Fe I
3593.017,3,Ru I
3593.082,32,T I
3593.34,88,V I
3593.997,40,Ca I
3594.104,11,Fe I
3594.317,7,Fe I
3594.638,146,Fe I
3594.876,92,Co I
3595.115,74,Mn I
3595.308,74,Fe I
3595.54,1,Fe I
3595.683,14,Fe I
3595.879,50,Fe I
3596.054,95,T I
3596.205,57,Fe I
3596.313,2.5,Fe I
3596.509,22,Co I
3596.859,3,Fe I
3597.047,86,Fe I
3597.152,11,Rh I
3597.252,6,Fe I
3597.712,181,N I
3598.182,8,Ce I
3598.72,60,Ti I
3598.986,87,Fe I
3599.544,18,N I
3599.764,6.5,Ru I
3599.831,6.5,Fe I
3599.97,58,Fe I
3600.454,3.5,Tb I
3600.591,2.5,Ce I
3600.739,69,Y I
3600.824,6.5,Co I
3601.198,13,Zr I
3601.284,6,Fe I
3601.428,16,Fe I
3601.664,51,Cr I
3601.788,8,Mn I
3601.922,57,Y I
3602.287,94,N I
3602.544,172,Fe I
3602.708,13,Fe I
3602.771,47,Fe I
3602.878,1.5,Fe I
3603.21,119,Fe I
3603.438,3.5,Fe I
3603.578,106,Fe I
3603.691,18,Fe I
3603.95,43,Fe I
3604.277,42,T I
3604.378,75,Fe I
3604.464,9.5,Co I
3604.702,60,Fe I
3604.933,17,Cr I
3605.019,18,Co I
3605.201,26,Fe I
3605.339,495,Cr I
3605.475,83,Fe I
3605.692,4.5,Mn I
3605.916,75,Fe I
3606.039,26,Fe I
3606.132,9,Dy I
3606.251,4.5,Fe I
3606.378,31,Fe I
3606.538,44,Fe I
3606.694,271,Fe I
3606.854,18,N I
3607.124,6,Fe I
3607.251,3,Fe I
3607.379,13,Zr I
3607.533,66,Mn I
3607.625,2,Ce I
3607.772,6,Fe I
3607.865,12,Ca I
3608.155,82,Fe I
3608.319,11,Co I
3608.412,15,Cr I
3608.491,38,Mn I
3608.732,6,N I
3608.869,1046,Fe I
3609.328,69,N I
3609.472,42,Fe I
3609.558,13,Pd I
3609.714,1,Ce I
3609.768,9,Co I
3609.978,3,Fe I
3610.056,10,Cr I
3610.166,231,Fe I
3610.296,35,Mn I
3610.46,250,N I
3610.702,76,Fe I
3611.05,80,Y I
3611.558,23,N I
3611.723,61,Co I
3611.894,25,Zr I
3612.075,118,Fe I
3612.245,9,T I
3612.519,20,Fe I
3612.744,160,N I
3612.941,90,Fe I
3613.109,139,Zr I
3613.332,14,Cr I
3613.449,86,Fe I
3613.719,21,Fe I
3613.809,194,Sc I
3613.952,9,Fe I
3614.23,4.5,T I
3614.561,98,Fe I
3614.891,28,Fe I
3615.393,26,Co I
3615.531,2,Fe I
3615.665,71,Cr I
3615.811,9,Fe I
3615.962,37,Fe I
3616.327,56,Fe I
3616.57,92,Fe I
3616.728,3.5,Fe I
3616.878,0.5,Hf I
3617.011,36,Fe I
3617.105,35,Fe I
3617.321,82,Fe I
3617.539,8.5,W I
3617.796,124,Fe I
3617.96,46,Fe I
3618.187,11,Fe I
3618.304,110,Fe I
3618.394,74,Fe I
3618.777,1410,Fe I
3619.273,17,Mn I
3619.4,568,N I
3619.536,15,Nb I
3619.67,19,Fe I
3619.776,48,Fe I
3619.937,34,Fe I
3620.032,28,N I
3620.247,51,Fe I
3620.468,76,Fe I
3620.879,51,Fe I
3620.971,24,Y I
3621.201,72,V I
3621.261,36,Sm I
3621.467,140,Fe I
3621.725,76,Fe I
3622.009,127,Fe I
3622.158,31,Ce I
3622.438,3,Fe I
3622.555,3.5,Eu I
3623.095,15,T I
3623.192,105,Fe I
3623.321,12,Sm I
3623.45,97,Fe I
3623.785,118,Fe I
3624.118,139,Ca I
3624.733,132,N I
3624.839,122,T I
3624.963,39,Co I
3625.147,106,Fe I
3625.501,49,Fe I
3625.626,10,V I
3625.753,23,Ca I
3625.933,0.5,N I
3626.016,2,Co I
3626.109,39,T I
3626.187,50,Fe I
3627.061,56,Fe I
3627.169,18,Fe I
3627.359,14,Fe I
3627.456,12,CH
3627.623,40,Mg I
3627.715,19,V I
3627.813,98,Co I
3627.959,9,Sm I
3628.098,78,Fe I
3628.279,24,CH
3628.439,8,Fe I
3628.599,45,Ca I
3628.707,57,Y I
3628.828,64,Fe I
3628.879,11,Fe I
3629.006,15,CH
3629.352,16,CH
3629.737,48,Mn I
3629.905,47,N I
3630.027,31,Zr I
3630.234,26,Dy I
3630.355,84,Fe I
3630.578,41,N I
3630.754,133,Ca I
3630.985,56,Ca I
3631.105,98,Fe I
3631.356,4.5,Co I
3631.475,1364,Fe I
3631.711,35,Cr I
3631.959,27,Co I
3632.049,117,Fe I
3632.299,16,Fe I
3632.56,72,Fe I
3632.84,64,Co I
3632.984,60,Fe I
3633.076,134,Fe I
3633.308,23,CH
3633.512,47,Zr I
3633.652,23,Fe I
3633.835,92,Fe I
3634.005,9,T I
3634.278,7.5,Sm I
3634.332,136,Fe I
3634.535,60,Fe I
3634.618,13,CH
3634.71,134,Co I
3634.865,14,CH
3634.952,129,N I
3635.025,34,Cr I
3635.085,9.5,Fe I
3635.28,12,Cr I
3635.352,28,Y I
3635.469,97,T I
3635.652,17,T I
3636.238,132,Fe I
3636.485,92,Zr I
3636.589,36,Cr I
3636.663,66,Fe I
3636.751,92,Co I
3636.865,4,Fe I
3637.058,112,Fe I
3637.255,68,Fe I
3637.317,10,Co I
3637.737,48,Fe I
3637.873,93,Fe I
3637.975,23,T I
3638.168,28,Fe I
3638.304,153,Fe I
3638.605,7.5,CH
3638.772,1,Sm I
3638.905,16,CH
3639.03,34,V I
3639.332,11,Fe I
3639.45,69,Co I
3639.525,36,Fe I
3639.804,76,Cr I
3639.985,10,Fe I
3640.118,8.5,Fe I
3640.265,12,Dy I
3640.394,132,Fe I
3641.228,11,Fe I
3641.335,109,T I
3641.459,52,Fe I
3641.646,51,Ni I
3641.792,72,Co I
3641.964,32,Fe I
3642.281,22,CH
3642.398,19,Ni I
3642.682,93,T I
3642.806,150,Se I
3642.971,20,CH
3643.124,94,Fe I
3643.204,66,Co I
3643.627,113,Fe I
3643.729,112,Fe I
3643.811,81,Fe I
3643.951,27,N I
3644.417,141,Ca I
3644.591,46,Fe I
